filename,frame_num,Hip_Center_X,Hip_Center_Y,Hip_Center_Z,Hip_Center_RawX,Hip_Center_RawY,Spine_X,Spine_Y,Spine_Z,Spine_RawX,Spine_RawY,Shoulder_Center_X,Shoulder_Center_Y,Shoulder_Center_Z,Shoulder_Center_RawX,Shoulder_Center_RawY,Head_X,Head_Y,Head_Z,Head_RawX,Head_RawY,Shoulder_Left_X,Shoulder_Left_Y,Shoulder_Left_Z,Shoulder_Left_RawX,Shoulder_Left_RawY,Elbow_Left_X,Elbow_Left_Y,Elbow_Left_Z,Elbow_Left_RawX,Elbow_Left_RawY,Wrist_Left_X,Wrist_Left_Y,Wrist_Left_Z,Wrist_Left_RawX,Wrist_Left_RawY,Hand_Left_X,Hand_Left_Y,Hand_Left_Z,Hand_Left_RawX,Hand_Left_RawY,Shoulder_Right_X,Shoulder_Right_Y,Shoulder_Right_Z,Shoulder_Right_RawX,Shoulder_Right_RawY,Elbow_Right_X,Elbow_Right_Y,Elbow_Right_Z,Elbow_Right_RawX,Elbow_Right_RawY,Wrist_Right_X,Wrist_Right_Y,Wrist_Right_Z,Wrist_Right_RawX,Wrist_Right_RawY,Hand_Right_X,Hand_Right_Y,Hand_Right_Z,Hand_Right_RawX,Hand_Right_RawY,Hip_Left_X,Hip_Left_Y,Hip_Left_Z,Hip_Left_RawX,Hip_Left_RawY,Knee_Left_X,Knee_Left_Y,Knee_Left_Z,Knee_Left_RawX,Knee_Left_RawY,Ankle_Left_X,Ankle_Left_Y,Ankle_Left_Z,Ankle_Left_RawX,Ankle_Left_RawY,Foot_Left_X,Foot_Left_Y,Foot_Left_Z,Foot_Left_RawX,Foot_Left_RawY,Hip_Right_X,Hip_Right_Y,Hip_Right_Z,Hip_Right_RawX,Hip_Right_RawY,Knee_Right_X,Knee_Right_Y,Knee_Right_Z,Knee_Right_RawX,Knee_Right_RawY,Ankle_Right_X,Ankle_Right_Y,Ankle_Right_Z,Ankle_Right_RawX,Ankle_Right_RawY,Foot_Right_X,Foot_Right_Y,Foot_Right_Z,Foot_Right_RawX,Foot_Right_RawY
sk_automotive_20230928_123950.skv,0,-27.0,261.0,-87.0,357.0,280.0,-61.0,254.0,-87.0,358.0,233.0,-561.0,1003.0,-389.0,361.0,140.0,-12.0,14.0,-6.0,358.0,83.0,-539.0,982.0,-239.0,318.0,138.0,-433.0,1321.0,-181.0,287.0,201.0,-4.0,9.0,0.0,256.0,152.0,-182.0,315.0,-8.0,248.0,127.0,-370.0,635.0,-350.0,404.0,142.0,-155.0,480.0,-266.0,416.0,213.0,-57.0,444.0,-245.0,421.0,274.0,-33.0,515.0,-272.0,415.0,295.0,-65.0,628.0,-163.0,332.0,279.0,215.0,1155.0,-279.0,325.0,383.0,199.0,512.0,-138.0,331.0,449.0,-32767.0,-32767.0,-32767.0,0.0,0.0,-105.0,1054.0,-437.0,382.0,282.0,237.0,1211.0,-480.0,375.0,384.0,517.0,1250.0,-478.0,365.0,453.0,-32767.0,-32767.0,-32767.0,0.0,0.0
sk_automotive_20230928_123950.skv,1,-140.0,1321.0,-443.0,357.0,279.0,-20.0,83.0,-28.0,358.0,232.0,-578.0,1026.0,-395.0,360.0,139.0,-164.0,200.0,-84.0,358.0,83.0,-517.0,936.0,-225.0,317.0,137.0,-448.0,1355.0,-170.0,283.0,200.0,-2.0,4.0,0.0,255.0,150.0,-220.0,376.0,-10.0,248.0,125.0,-382.0,651.0,-359.0,404.0,141.0,-185.0,572.0,-316.0,416.0,213.0,-61.0,451.0,-250.0,421.0,272.0,-33.0,478.0,-252.0,415.0,293.0,-109.0,988.0,-257.0,332.0,277.0,195.0,1138.0,-274.0,325.0,378.0,519.0,1344.0,-368.0,332.0,448.0,-32767.0,-32767.0,-32767.0,0.0,0.0,-26.0,253.0,-105.0,382.0,281.0,221.0,1184.0,-469.0,375.0,381.0,17.0,42.0,-16.0,365.0,452.0,-32767.0,-32767.0,-32767.0,0.0,0.0
sk_automotive_20230928_123950.skv,2,-15.0,150.0,-49.0,356.0,279.0,-330.0,1353.0,-462.0,357.0,232.0,-605.0,1073.0,-413.0,360.0,139.0,-164.0,201.0,-83.0,357.0,83.0,-521.0,943.0,-224.0,316.0,137.0,-408.0,1236.0,-148.0,281.0,200.0,-31.0,62.0,-2.0,254.0,149.0,-196.0,329.0,-9.0,248.0,122.0,-321.0,546.0,-304.0,405.0,141.0,-176.0,546.0,-302.0,416.0,213.0,-58.0,424.0,-235.0,421.0,271.0,-40.0,546.0,-287.0,414.0,292.0,-129.0,1171.0,-301.0,331.0,277.0,195.0,1153.0,-278.0,325.0,377.0,73.0,189.0,-53.0,334.0,448.0,-32767.0,-32767.0,-32767.0,0.0,0.0,-87.0,852.0,-353.0,382.0,281.0,225.0,1204.0,-477.0,375.0,381.0,532.0,1296.0,-496.0,365.0,452.0,-32767.0,-32767.0,-32767.0,0.0,0.0
sk_automotive_20230928_123950.skv,3,-37.0,356.0,-119.0,357.0,279.0,-20.0,83.0,-28.0,358.0,232.0,-651.0,1155.0,-444.0,360.0,139.0,-164.0,201.0,-83.0,357.0,84.0,-466.0,851.0,-199.0,315.0,138.0,-429.0,1277.0,-134.0,276.0,198.0,-23.0,46.0,-1.0,251.0,145.0,-264.0,433.0,-12.0,248.0,119.0,-326.0,556.0,-309.0,405.0,141.0,-158.0,490.0,-273.0,417.0,213.0,-66.0,478.0,-265.0,421.0,271.0,-46.0,605.0,-317.0,414.0,291.0,-69.0,628.0,-161.0,331.0,277.0,191.0,1152.0,-281.0,326.0,376.0,95.0,249.0,-69.0,334.0,447.0,228.0,461.0,-138.0,337.0,479.0,-92.0,900.0,-376.0,383.0,281.0,220.0,1197.0,-474.0,375.0,380.0,0.0,1.0,0.0,365.0,449.0,-32767.0,-32767.0,-32767.0,0.0,0.0
sk_automotive_20230928_123950.skv,4,-122.0,1147.0,-384.0,357.0,279.0,0.0,2.0,0.0,357.0,232.0,-562.0,1005.0,-382.0,359.0,140.0,-93.0,115.0,-47.0,357.0,85.0,-464.0,847.0,-195.0,314.0,138.0,-436.0,1220.0,-108.0,270.0,191.0,-52.0,97.0,-3.0,250.0,137.0,-472.0,745.0,-19.0,247.0,113.0,-380.0,652.0,-362.0,405.0,142.0,-155.0,483.0,-269.0,417.0,214.0,-65.0,471.0,-259.0,420.0,271.0,-40.0,534.0,-278.0,413.0,291.0,-67.0,628.0,-163.0,332.0,278.0,184.0,1131.0,-276.0,326.0,375.0,95.0,249.0,-69.0,334.0,447.0,600.0,1211.0,-363.0,337.0,479.0,-97.0,941.0,-393.0,383.0,281.0,216.0,1213.0,-480.0,375.0,378.0,424.0,1062.0,-405.0,365.0,449.0,-32767.0,-32767.0,-32767.0,0.0,0.0
sk_automotive_20230928_123950.skv,5,-21.0,198.0,-67.0,358.0,279.0,-62.0,254.0,-87.0,358.0,232.0,-626.0,1110.0,-427.0,360.0,139.0,-885.0,1102.0,-454.0,357.0,86.0,-552.0,1008.0,-236.0,315.0,138.0,-454.0,1227.0,-99.0,267.0,187.0,-133.0,243.0,-6.0,248.0,135.0,-129.0,199.0,-3.0,245.0,110.0,-323.0,551.0,-306.0,405.0,141.0,-167.0,520.0,-294.0,419.0,214.0,-66.0,489.0,-272.0,422.0,272.0,-43.0,572.0,-304.0,416.0,291.0,-48.0,449.0,-116.0,332.0,278.0,189.0,1159.0,-282.0,326.0,375.0,39.0,102.0,-28.0,334.0,447.0,199.0,402.0,-120.0,337.0,479.0,-85.0,832.0,-351.0,384.0,281.0,218.0,1207.0,-477.0,375.0,379.0,448.0,1122.0,-427.0,365.0,449.0,-32767.0,-32767.0,-32767.0,0.0,0.0
sk_automotive_20230928_123950.skv,6,-19.0,180.0,-61.0,358.0,279.0,-70.0,286.0,-98.0,358.0,232.0,-620.0,1101.0,-423.0,360.0,139.0,-76.0,95.0,-39.0,356.0,86.0,-523.0,955.0,-226.0,316.0,138.0,-307.0,782.0,-61.0,266.0,180.0,-71.0,129.0,-2.0,244.0,133.0,-774.0,1168.0,-15.0,243.0,106.0,-330.0,562.0,-313.0,405.0,141.0,-144.0,444.0,-251.0,419.0,213.0,-51.0,382.0,-213.0,422.0,272.0,-43.0,541.0,-288.0,416.0,290.0,-67.0,628.0,-165.0,333.0,278.0,188.0,1154.0,-281.0,326.0,375.0,184.0,481.0,-136.0,335.0,447.0,439.0,887.0,-265.0,337.0,479.0,-97.0,940.0,-396.0,384.0,281.0,216.0,1215.0,-480.0,375.0,378.0,493.0,1223.0,-467.0,365.0,450.0,-32767.0,-32767.0,-32767.0,0.0,0.0
sk_automotive_20230928_123950.skv,7,-27.0,261.0,-88.0,358.0,279.0,-20.0,83.0,-28.0,358.0,232.0,-551.0,977.0,-376.0,360.0,139.0,-52.0,65.0,-26.0,356.0,86.0,-563.0,1027.0,-240.0,315.0,138.0,-105.0,256.0,-18.0,264.0,174.0,-187.0,323.0,-3.0,242.0,127.0,-303.0,440.0,-3.0,241.0,100.0,-330.0,562.0,-313.0,405.0,141.0,-164.0,505.0,-286.0,419.0,213.0,-53.0,388.0,-216.0,422.0,271.0,-38.0,477.0,-254.0,416.0,290.0,-106.0,987.0,-259.0,333.0,278.0,186.0,1139.0,-278.0,326.0,375.0,95.0,249.0,-70.0,335.0,447.0,38.0,77.0,-23.0,337.0,479.0,-79.0,770.0,-324.0,384.0,281.0,221.0,1220.0,-483.0,375.0,379.0,0.0,1.0,0.0,365.0,449.0,-32767.0,-32767.0,-32767.0,0.0,0.0
sk_automotive_20230928_123950.skv,8,-2.0,21.0,-7.0,359.0,279.0,-335.0,1369.0,-476.0,359.0,232.0,-596.0,1058.0,-407.0,360.0,139.0,-112.0,140.0,-57.0,357.0,86.0,-526.0,953.0,-223.0,315.0,137.0,-183.0,429.0,-27.0,261.0,169.0,-246.0,396.0,-1.0,240.0,116.0,-607.0,826.0,-3.0,240.0,90.0,-392.0,668.0,-371.0,405.0,141.0,-145.0,453.0,-256.0,419.0,214.0,-65.0,482.0,-268.0,422.0,272.0,-42.0,537.0,-286.0,416.0,290.0,-125.0,1169.0,-307.0,333.0,278.0,188.0,1153.0,-281.0,326.0,375.0,111.0,290.0,-82.0,335.0,447.0,9.0,19.0,-5.0,337.0,479.0,-108.0,1049.0,-446.0,385.0,281.0,220.0,1217.0,-481.0,375.0,379.0,96.0,240.0,-91.0,365.0,449.0,-32767.0,-32767.0,-32767.0,0.0,0.0
sk_automotive_20230928_123950.skv,9,-9.0,85.0,-29.0,359.0,279.0,-296.0,1210.0,-421.0,359.0,232.0,-575.0,1020.0,-392.0,360.0,139.0,-878.0,1094.0,-450.0,357.0,86.0,-555.0,1006.0,-236.0,315.0,137.0,-604.0,1369.0,-72.0,257.0,165.0,-349.0,550.0,-2.0,240.0,113.0,-728.0,973.0,-4.0,240.0,87.0,-382.0,650.0,-361.0,405.0,141.0,-162.0,504.0,-287.0,420.0,214.0,-54.0,402.0,-224.0,422.0,272.0,-31.0,409.0,-216.0,415.0,291.0,-28.0,266.0,-70.0,333.0,278.0,187.0,1147.0,-280.0,326.0,375.0,96.0,248.0,-70.0,335.0,448.0,-32767.0,-32767.0,-32767.0,0.0,0.0,-97.0,939.0,-399.0,385.0,281.0,217.0,1200.0,-475.0,375.0,379.0,463.0,1149.0,-438.0,365.0,450.0,-32767.0,-32767.0,-32767.0,0.0,0.0
